ts,action,tag
2025-10-01T11:59:21.629664,broad,up
2025-10-01T12:06:27.804272,broad,down
2025-10-01T12:43:37.582327,legal_only,up
2025-10-01T12:43:49.887402,legal_only,down
2025-10-01T12:57:36.374139,broad,up
2025-10-01T13:14:35.169837,financial_only,up
2025-10-01T13:14:43.528894,financial_only,down
2025-10-01T13:14:47.936692,broad,up
2025-10-01T13:28:06.508648,company_only,down
2025-10-01T13:28:42.770364,broad,down
2025-10-01T13:29:02.102256,broad,up
2025-10-01T13:50:39.940112,legal_only,down
2025-10-01T13:52:43.056747,legal_only,down
2025-10-01T21:49:22.132882,broad,up
2025-10-01T22:44:30.972039,broad,up
2025-10-02T01:18:31.948192,financial_only,down
2025-10-02T01:18:34.356905,company_only,down
2025-10-02T01:18:34.833087,broad,up
2025-10-02T01:18:36.449942,broad,down
2025-10-02T01:24:22.165063,legal_only,up
2025-10-02T01:29:12.864540,legal_only,down
2025-10-02T01:30:35.965685,broad,up
2025-10-02T01:31:50.028139,legal_only,down
2025-10-02T01:31:58.035762,legal_only,down
2025-10-02T01:32:02.402744,broad,up
2025-10-02T01:32:09.124565,financial_only,down
2025-10-02T01:32:24.237149,broad,up
2025-10-02T01:37:09.612714,broad,up
2025-10-02T01:37:31.557731,broad,up
2025-10-02T01:51:01.303627,broad,down
2025-10-02T01:51:14.442650,broad,down
2025-10-02T01:51:26.176615,broad,up
2025-10-02T01:57:16.341001,broad,down
2025-10-02T02:00:15.924612,broad,down
2025-10-02T02:00:43.276177,legal_only,up
2025-10-02T02:01:31.054395,company_only,up
2025-10-02T02:02:09.244919,company_only,up
2025-10-02T02:03:30.717791,legal_only,up
2025-10-02T02:04:37.772493,broad,down
2025-10-02T02:05:24.853629,legal_only,up
2025-10-02T02:45:25.526904,company_only,down
2025-10-02T02:46:45.786401,company_only,down
2025-10-02T02:47:06.489378,legal_only,up
2025-10-02T02:47:30.328161,broad,up
2025-10-02T02:47:39.636543,company_only,up
2025-10-02T02:47:53.876651,legal_only,up
2025-10-02T02:48:06.351372,legal_only,up
2025-10-02T02:48:22.537401,financial_only,down
2025-10-02T02:48:38.594878,legal_only,down
2025-10-02T02:51:07.174086,broad,down
2025-10-02T02:52:16.574292,legal_only,down
2025-10-02T02:57:38.645025,broad,up
2025-10-02T02:59:07.426097,legal_only,down
